time	j0(pa0)	j1(pa0)	j0(pa1)	j1(pa1)
0	0	0	0	0
10	-803.9	0	0	4.2
20	-1104.5	0	0	10.3
30	-1113.5	0	0	23.1
40	-1105.2	0	0	41.5
50	-1115.1	0	0	50.6
60	-1107.3	0	0	67.9
70	-1108.8	0	0	90.2
80	-1106.6	0	0	115.5
90	-1112.5	0	0	143.9
100	-1108.4	0	0	165.8
110	-1110.5	0	0	197
120	-1108.7	0	0	234
130	-1105.7	0	0	261.3
140	-1110.2	0	0	311.1
150	-1108.8	0	0	347.1
160	-1106	0	0	385.1
170	-1110.9	0	0	426.2
180	-1109.9	0	0	482.4
190	-1110.5	0	0	521.5
200	-1110.1	0	0	570.9
210	-1101.8	0	0	601.9
220	-1112.8	0	0	648.7
230	-1109.3	0	0	710.5
240	-1108.5	0	0	741.2
250	-1108.8	0	0	785.4
260	-1108.4	0	0	812.7
270	-1107.2	0	0	838.4
280	-1111.6	0	0	866.8
290	-1107.8	0	0	896.6
300	-1109.5	0	0	910.3
310	-1109.9	0	0	947.2
320	-1110.3	0	0	954.1
330	-1108	0	0	985.7
340	-1109	0	0	987.7
350	-1111.9	0	0	1013.8
360	-1108.8	0	0	1005.3
370	-1110.6	0	0	1019.6
380	-1108.4	0	0	1009.2
390	-1107.9	0	0	1024.8
400	-1114.8	0	0	1008.7
410	-1105.1	0	0	1033.3
420	-1110.3	0	0	1032.4
430	-1113.4	0	0	1023.1
440	-1107.2	0	0	1043.1
450	-1108.4	0	0	1046.7
460	-1108.5	0	0	1022.7
470	-1111	0	0	1058.7
480	-1110.5	0	0	1057.6
490	-1110.5	0	0	1047.4
500	-1106.1	0	0	1048
510	-1112.7	0	0	1063.4
520	-1108.1	0	0	1049.3
530	-1109.8	0	0	1060.5
540	-1107.5	0	0	1064.2
550	-1115.6	0	0	1076.3
560	-1105.8	0	0	1067.1
570	-1110.3	0	0	1063.9
580	-1110.9	0	0	1080.3
590	-1109.1	0	0	1063.6
600	-1110.6	0	0	1075.1
610	-1108.3	0	0	1067.9
620	-1111.6	0	0	1091.9
630	-1108.8	0	0	1080.3
640	-1108.4	0	0	1075.6
650	-1110.4	0	0	1092.4
660	-1111.2	0	0	1083.4
670	-1108.1	0	0	1090.5
680	-1110.3	0	0	1070.8
690	-1112.2	0	0	1086.5
700	-1106.5	0	0	1086.2
710	-1113.9	0	0	1095.7
720	-1108.3	0	0	1090.1
730	-1110.3	0	0	1088.5
740	-1109.2	0	0	1103
750	-1107.8	0	0	1088.4
760	-1110.5	0	0	1083.8
770	-1111.8	0	0	1078.2
780	-1107.9	0	0	1079.4
790	-1109.5	0	0	1093
800	-1113.2	0	0	1092.9
810	-1108.3	0	0	1091.9
820	-1111.1	0	0	1081.5
830	-1109	0	0	1107.7
840	-1108.3	0	0	1117.4
