#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-3.982593e+03	0.000000e+00	2.859267e-02	0.000000e+00	-4.444828e+03	4.622358e+02
1.190000e-03	-1.622918e+03	-3.402192e-05	2.858870e-02	0.000000e+00	-7.730686e+03	6.107768e+03
2.380000e-03	3.060472e+03	-6.804110e-05	2.858972e-02	0.000000e+00	-6.502791e+03	9.563263e+03
3.570000e-03	3.332510e+03	-1.020654e-04	2.859424e-02	0.000000e+00	-5.896864e+03	9.229374e+03
4.760000e-03	2.883788e+03	-1.360954e-04	2.859865e-02	0.000000e+00	-5.734963e+03	8.618751e+03
5.950000e-03	3.458722e+03	-1.701302e-04	2.860314e-02	0.000000e+00	-6.542516e+03	1.000124e+04
7.140000e-03	1.057168e+04	-2.041709e-04	2.861307e-02	0.000000e+00	-5.839997e+03	1.641167e+04
8.330000e-03	1.523835e+04	-2.382293e-04	2.863135e-02	0.000000e+00	-4.277629e+03	1.951598e+04
9.520000e-03	1.408527e+04	-2.723135e-04	2.865212e-02	0.000000e+00	-7.613464e+03	2.169873e+04
1.071000e-02	2.286977e+04	-3.064214e-04	2.867829e-02	0.000000e+00	-6.266168e+03	2.913593e+04
1.190000e-02	1.922896e+04	-3.405678e-04	2.870810e-02	0.000000e+00	-6.950450e+03	2.617941e+04
1.309000e-02	1.561829e+04	-3.747466e-04	2.873278e-02	0.000000e+00	-7.610437e+03	2.322873e+04
1.428000e-02	2.462720e+04	-4.089518e-04	2.876128e-02	0.000000e+00	-3.343101e+03	2.797030e+04
1.547000e-02	2.450790e+04	-4.431985e-04	2.879607e-02	0.000000e+00	-6.616032e+03	3.112393e+04
1.666000e-02	3.114097e+04	-4.774865e-04	2.883548e-02	0.000000e+00	-4.611232e+03	3.575220e+04
1.785000e-02	3.026044e+04	-5.118269e-04	2.887896e-02	0.000000e+00	-6.058919e+03	3.631936e+04
1.904000e-02	3.007867e+04	-5.462184e-04	2.892169e-02	0.000000e+00	-4.258956e+03	3.433762e+04
2.023000e-02	3.964725e+04	-5.806606e-04	2.897107e-02	0.000000e+00	-1.850943e+03	4.149819e+04
2.142000e-02	3.554180e+04	-6.151695e-04	2.902432e-02	0.000000e+00	-4.771139e+03	4.031294e+04
2.261000e-02	3.299438e+04	-6.497384e-04	2.907285e-02	0.000000e+00	-4.605193e+03	3.759957e+04
2.380000e-02	3.595870e+04	-6.843629e-04	2.912168e-02	0.000000e+00	-4.970960e+03	4.092966e+04
